url,entropy,pathentropy,hostname_length,path_length,tld_length,count-,count-@,special_chacter,count-http,count-https,count-www,count-digit,count-letter,count_dir,Iframe,SubmittingToEmail,WebTraffic,Redirection,google_index,url_length,DomainRegistrationLength,HavingIp,sfh,short_url_service,favicon
https://ko.dict.naver.com,4.023465189601646,0.0,17,0,3,1,1,3,1,1,0,0,19,0,1,1,1,1,-1,1,-1,-1,1,1,0
https://endic.naver.com,4.00182282562223,0.0,15,0,3,1,1,2,1,1,0,0,18,0,1,1,1,1,-1,1,-1,-1,-1,1,-1
https://ja.dict.naver.com,4.023465189601646,0.0,17,0,3,1,1,3,1,1,0,0,19,0,1,1,1,1,-1,1,-1,-1,1,1,0
https://zh.dict.naver.com,4.023465189601646,0.0,17,0,3,1,1,3,1,1,0,0,19,0,1,1,1,1,-1,1,-1,-1,1,1,0
https://hanja.dict.naver.com,4.012188403968661,0.0,20,0,3,1,1,3,1,1,0,0,22,0,1,1,1,1,-1,1,-1,-1,1,1,-1
http://news.naver.com/main/list.nhn,3.9544425746945726,3.182005814760214,14,14,3,1,1,3,1,0,0,0,27,2,1,1,1,1,-1,1,-1,-1,0,1,-1
http://news.naver.com,3.916126946588283,0.0,14,0,3,1,1,2,1,0,0,0,16,0,1,1,1,1,-1,1,-1,-1,0,1,-1
http://entertain.naver.com/home,3.7442035683118124,2.3219280948873626,19,5,3,1,1,2,1,0,0,0,25,1,1,1,1,1,-1,1,-1,-1,0,1,-1
http://sports.news.naver.com,3.8693312611115185,0.0,21,0,3,1,1,3,1,0,0,0,22,0,1,1,1,1,-1,1,-1,-1,0,1,1
http://news.naver.com/main/main.nhn,3.8214419452073276,2.6644977792004614,14,14,3,1,1,3,1,0,0,0,27,2,1,1,1,1,-1,1,-1,-1,0,1,-1
http://newsstand.naver.com,3.9500637564362093,0.0,19,0,3,1,1,2,1,0,0,0,21,0,1,1,1,1,-1,1,-1,-1,1,1,-1
http://newsstand.naver.com/config.html,4.208196592277089,3.584962500721156,19,12,3,1,1,3,1,0,0,0,31,1,1,1,1,1,-1,1,-1,-1,1,1,-1
https://happybean.naver.com/donations/H000000175176,4.382730488818217,3.522055208874201,19,24,3,1,1,2,1,1,0,12,32,2,1,1,1,1,-1,1,-1,-1,0,1,-1
https://happybean.naver.com/crowdFunding/Intro/H000000174689,4.698499037874886,4.104407755459851,19,33,3,1,1,2,1,1,0,12,40,3,1,1,1,1,-1,0,-1,-1,0,1,-1
https://booking.naver.com/booking/12/bizes/242052,4.361973558701858,3.66829583405449,17,24,3,1,1,2,1,1,0,8,32,4,1,1,1,1,-1,1,-1,-1,1,1,-1
https://happybean.naver.com/goodAction/1343,4.379298475431077,3.452819531114783,19,16,3,1,1,2,1,1,0,4,32,2,1,1,1,1,-1,1,-1,-1,0,1,-1
https://blog.naver.com/erounnet/222133203262,4.293881334202201,3.2655833228877333,14,22,3,1,1,2,1,1,0,12,25,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/snailoflove/222127717478,4.432144436737989,3.6838561897747244,14,25,3,1,1,2,1,1,0,12,28,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/heartfund/222128111881,4.355866085690482,3.377278130987436,14,23,3,1,1,2,1,1,0,12,26,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/merryyear09/222121969815,4.485127947284226,3.513269689515108,14,25,3,1,1,2,1,1,0,14,26,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/haechiseoul/222120217869,4.53598666059408,3.859470570797251,14,25,3,1,1,2,1,1,0,12,28,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/erounnet/222134947171,4.447401504705915,3.572623663895164,14,22,3,1,1,2,1,1,0,12,25,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://post.naver.com/viewer/postView.nhn,4.016735577283109,3.6841837197791887,14,20,3,1,1,3,1,1,0,0,34,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/haechiseoul/222135027363,4.554172894046705,3.893660689688185,14,25,3,1,1,2,1,1,0,12,28,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/future4all/222102091530,4.561286684176786,3.7201755214643457,14,24,3,1,1,2,1,1,0,13,26,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/erounnet/222136228472,4.40194695925137,3.481714572986072,14,22,3,1,1,2,1,1,0,12,25,2,1,1,1,1,-1,1,-1,-1,1,1,-1
